year,position,team,total_points
1995 Constructor Standings,1,Benetton Renault,137
year,position,team,total_points
1995 Constructor Standings,2,Williams Renault,112
year,position,team,total_points
1995 Constructor Standings,3,Ferrari,73
year,position,team,total_points
1995 Constructor Standings,4,McLaren Mercedes,30
year,position,team,total_points
1995 Constructor Standings,5,Ligier Mugen Honda,24
year,position,team,total_points
1995 Constructor Standings,6,Jordan Peugeot,21
year,position,team,total_points
1995 Constructor Standings,7,Sauber Ford,18
year,position,team,total_points
1995 Constructor Standings,8,Footwork Hart,5
year,position,team,total_points
1995 Constructor Standings,9,Tyrrell Yamaha,5
year,position,team,total_points
1995 Constructor Standings,10,Minardi Ford,1
year,position,team,total_points
1999 Constructor Standings,1,Ferrari,128
year,position,team,total_points
1999 Constructor Standings,2,McLaren Mercedes,124
year,position,team,total_points
1999 Constructor Standings,3,Jordan Mugen Honda,61
year,position,team,total_points
1999 Constructor Standings,4,Stewart Ford,36
year,position,team,total_points
1999 Constructor Standings,5,Williams Supertec,35
year,position,team,total_points
1999 Constructor Standings,6,Benetton Playlife,16
year,position,team,total_points
1999 Constructor Standings,7,Prost Peugeot,9
year,position,team,total_points
1999 Constructor Standings,8,Sauber Petronas,5
year,position,team,total_points
1999 Constructor Standings,9,Minardi Ford,1
year,position,team,total_points
1999 Constructor Standings,10,Arrows,1
year,position,team,total_points
2000 Constructor Standings,1,Ferrari,170
year,position,team,total_points
2000 Constructor Standings,2,McLaren Mercedes,152
year,position,team,total_points
2000 Constructor Standings,3,Williams BMW,36
year,position,team,total_points
2000 Constructor Standings,4,Benetton Playlife,20
year,position,team,total_points
2000 Constructor Standings,5,BAR Honda,20
year,position,team,total_points
2000 Constructor Standings,6,Jordan Mugen Honda,17
year,position,team,total_points
2000 Constructor Standings,7,Arrows Supertec,7
year,position,team,total_points
2000 Constructor Standings,8,Sauber Petronas,6
year,position,team,total_points
2000 Constructor Standings,9,Jaguar Cosworth,4
year,position,team,total_points
2001 Constructor Standings,1,Ferrari,179
year,position,team,total_points
2001 Constructor Standings,2,McLaren Mercedes,102
year,position,team,total_points
2001 Constructor Standings,3,Williams BMW,80
year,position,team,total_points
2001 Constructor Standings,4,Sauber Petronas,21
year,position,team,total_points
2001 Constructor Standings,5,Jordan Honda,19
year,position,team,total_points
2001 Constructor Standings,6,BAR Honda,17
year,position,team,total_points
2001 Constructor Standings,7,Benetton Renault,10
year,position,team,total_points
2001 Constructor Standings,8,Jaguar Cosworth,9
year,position,team,total_points
2001 Constructor Standings,9,Prost Acer,4
year,position,team,total_points
2001 Constructor Standings,10,Arrows Asiatech,1
year,position,team,total_points
1998 Constructor Standings,1,McLaren Mercedes,156
year,position,team,total_points
1998 Constructor Standings,2,Ferrari,133
year,position,team,total_points
1998 Constructor Standings,3,Williams Mecachrome,38
year,position,team,total_points
1998 Constructor Standings,4,Jordan Mugen Honda,34
year,position,team,total_points
1998 Constructor Standings,5,Benetton Playlife,33
year,position,team,total_points
1998 Constructor Standings,6,Sauber Petronas,10
year,position,team,total_points
1998 Constructor Standings,7,Arrows,6
year,position,team,total_points
1998 Constructor Standings,8,Stewart Ford,5
year,position,team,total_points
1998 Constructor Standings,9,Prost Peugeot,1
year,position,team,total_points
1997 Constructor Standings,1,Williams Renault,123
year,position,team,total_points
1997 Constructor Standings,2,Ferrari,102
year,position,team,total_points
1997 Constructor Standings,3,Benetton Renault,67
year,position,team,total_points
1997 Constructor Standings,4,McLaren Mercedes,63
year,position,team,total_points
1997 Constructor Standings,5,Jordan Peugeot,33
year,position,team,total_points
1997 Constructor Standings,6,Prost Mugen Honda,21
year,position,team,total_points
1997 Constructor Standings,7,Sauber Petronas,16
year,position,team,total_points
1997 Constructor Standings,8,Arrows Yamaha,9
year,position,team,total_points
1997 Constructor Standings,9,Stewart Ford,6
year,position,team,total_points
1997 Constructor Standings,10,Tyrrell Ford,2
year,position,team,total_points
1996 Constructor Standings,1,Williams Renault,175
year,position,team,total_points
1996 Constructor Standings,2,Ferrari,70
year,position,team,total_points
1996 Constructor Standings,3,Benetton Renault,68
year,position,team,total_points
1996 Constructor Standings,4,McLaren Mercedes,49
year,position,team,total_points
1996 Constructor Standings,5,Jordan Peugeot,22
year,position,team,total_points
1996 Constructor Standings,6,Ligier Mugen Honda,15
year,position,team,total_points
1996 Constructor Standings,7,Sauber Ford,11
year,position,team,total_points
1996 Constructor Standings,8,Tyrrell Yamaha,5
year,position,team,total_points
1996 Constructor Standings,9,Footwork Hart,1
year,position,team,total_points
1993 Constructor Standings,1,Williams Renault,168
year,position,team,total_points
1993 Constructor Standings,2,McLaren Ford,84
year,position,team,total_points
1993 Constructor Standings,3,Benetton Ford,72
year,position,team,total_points
1993 Constructor Standings,4,Ferrari,28
year,position,team,total_points
1993 Constructor Standings,5,Ligier Renault,23
year,position,team,total_points
1993 Constructor Standings,6,Lotus Ford,12
year,position,team,total_points
1993 Constructor Standings,6,Sauber,12
year,position,team,total_points
1993 Constructor Standings,8,Minardi Ford,7
year,position,team,total_points
1993 Constructor Standings,9,Footwork Mugen Honda,4
year,position,team,total_points
1993 Constructor Standings,10,Larrousse Lamborghini,3
year,position,team,total_points
1993 Constructor Standings,10,Jordan Hart,3
year,position,team,total_points
2023 Constructor Standings,1,Red Bull Racing Honda RBPT,860
year,position,team,total_points
2023 Constructor Standings,2,Mercedes,409
year,position,team,total_points
2023 Constructor Standings,3,Ferrari,406
year,position,team,total_points
1994 Constructor Standings,1,Williams Renault,118
year,position,team,total_points
2023 Constructor Standings,4,McLaren Mercedes,302
year,position,team,total_points
2023 Constructor Standings,5,Aston Martin Aramco Mercedes,280
year,position,team,total_points
