location,race_date,race_fullname,race_round,race_url
Sakhir,21-23 21-23,FORMULA 1 ARAMCO PRE-SEASON TESTING 2024,TESTING,https://www.formula1.com/en/racing/2024/pre-season-testing
Bahrain,29-02 FEB-MAR,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,ROUND 1,https://www.formula1.com/en/racing/2024/bahrain
Saudi Arabia,07-09 MAR,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,ROUND 2,https://www.formula1.com/en/racing/2024/saudi-arabia
Australia,22-24 MAR,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,ROUND 3,https://www.formula1.com/en/racing/2024/australia
Japan,05-07 APR,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,ROUND 4,https://www.formula1.com/en/racing/2024/japan
China,19-21 APR,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,ROUND 5,https://www.formula1.com/en/racing/2024/china
,,,,
,,,,
Miami,03-05 MAY,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,ROUND 6,https://www.formula1.com/en/racing/2024/miami
,,,,
,,,,
Emilia-Romagna,17-19 MAY,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,ROUND 7,https://www.formula1.com/en/racing/2024/emiliaromagna
,,,,
Monaco,24-26 MAY,FORMULA 1 GRAND PRIX DE MONACO 2024,ROUND 8,https://www.formula1.com/en/racing/2024/monaco
Canada,07-09 JUN,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,ROUND 9,https://www.formula1.com/en/racing/2024/canada
Spain,21-23 JUN,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,ROUND 10,https://www.formula1.com/en/racing/2024/spain
,,,,
Austria,28-30 JUN,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,ROUND 11,https://www.formula1.com/en/racing/2024/austria
Great Britain,05-07 JUL,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,ROUND 12,https://www.formula1.com/en/racing/2024/great-britain
,,,,
,,,,
Hungary,19-21 JUL,FORMULA 1 HUNGARIAN GRAND PRIX 2024,ROUND 13,https://www.formula1.com/en/racing/2024/hungary
,,,,
,,,,
Belgium,26-28 26-28,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,ROUND 14 - UP NEXT,https://www.formula1.com/en/racing/2024/belgium
,,,,
Netherlands,23-25 23-25,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,ROUND 15,https://www.formula1.com/en/racing/2024/netherlands
,,,,
Italy,30-01 30-01,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,ROUND 16,https://www.formula1.com/en/racing/2024/italy
,,,,
Azerbaijan,13-15 13-15,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,ROUND 17,https://www.formula1.com/en/racing/2024/azerbaijan
,,,,
Singapore,20-22 20-22,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,ROUND 18,https://www.formula1.com/en/racing/2024/singapore
,,,,
United States,18-20 18-20,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,ROUND 19,https://www.formula1.com/en/racing/2024/united-states
,,,,
Mexico,25-27 25-27,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,ROUND 20,https://www.formula1.com/en/racing/2024/mexico
,,,,
Brazil,01-03 01-03,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,ROUND 21,https://www.formula1.com/en/racing/2024/brazil
,,,,
Las Vegas,21-23 21-23,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,ROUND 22,https://www.formula1.com/en/racing/2024/las-vegas
,,,,
,,,,
Qatar,29-01 29-01,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,ROUND 23,https://www.formula1.com/en/racing/2024/qatar
,,,,
,,,,
Abu Dhabi,06-08 06-08,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,ROUND 24,https://www.formula1.com/en/racing/2024/united-arab-emirates
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
